Sample_ID,pcr_replicate,biological_replicate,extraction_ID,extraction_replicate,run,collection_year,collection_month,collection_day,location1,longitude,latitude,sample_type,time_of_day,extraction_date,plate_or_vial,extraction_plate,extraction_well,dna_conc,pcr_conc
e00585_A,A,e00585,e00585,1,B,2021,7,11,67,-159.595,55.0911,sample,14:54,2022_02_23,plate,2_2022,G04,17.877,27.259
e00586_A,A,e00586,e00586,1,B,2021,7,11,67,-159.595,55.0911,sample,14:54,2022_02_23,plate,2_2022,H04,9.261,23.286
e00587_A,A,e00587,e00587,1,B,2021,7,11,67,-159.595,55.0911,sample,14:54,2022_02_23,plate,2_2022,A05,5.505,25.421
e00588_A,A,e00588,e00588,1,B,2021,7,12,70,-159.863,55.1383,sample,8:26,2022_02_23,plate,2_2022,B05,11.991,21.07
e00589_A,A,e00589,e00589,1,B,2021,7,12,70,-159.863,55.1383,sample,8:26,2022_02_23,plate,2_2022,C05,14.284,23.661
e00590_A,A,e00590,e00590,1,B,2021,7,12,70,-159.863,55.1383,sample,8:26,2022_02_23,plate,2_2022,D05,9.879,21.767
e00591_A,A,e00591,e00591,1,B,2021,7,12,71,-159.867,55.1349,sample,9:25,2022_02_23,plate,2_2022,E05,30.251,22.622
e00592_A,A,e00592,e00592,1,B,2021,7,12,71,-159.867,55.1349,sample,9:25,2022_02_23,plate,2_2022,F05,3.54,21.722
e00593_A,A,e00593,e00593,1,B,2021,7,12,71,-159.867,55.1349,sample,9:25,2022_02_23,plate,2_2022,G05,23.645,25.601
e00594_A,A,e00594,e00594,1,B,2021,7,12,72,-159.9,55.2289,sample,14:03,2022_02_23,plate,2_2022,H05,8.116,23.124
e00595_A,A,e00595,e00595,1,B,2021,7,12,72,-159.9,55.2289,sample,14:03,2022_02_23,plate,2_2022,A06,9.599,17.855
e00596_A,A,e00596,e00596,1,B,2021,7,12,72,-159.9,55.2289,sample,14:03,2022_02_23,plate,2_2022,B06,8.916,13.705
e00597_A,A,e00597,e00597,1,B,2021,7,12,74,-160.019,55.1037,sample,20:57,2022_02_23,plate,2_2022,C06,28.925,20.911
