sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_tabled	reads_chimera_checked	reads_tax.length_filtered
e00480-A	e00480-A	1	e00480-A_S77_L001_R1_001.fastq.gz	e00480-A_S77_L001_R2_001.fastq.gz	32860	32860	32441	32441	32020	32020	28936	28228	28228
e00480-B	e00480-B	1	e00480-B_S173_L001_R1_001.fastq.gz	e00480-B_S173_L001_R2_001.fastq.gz	37786	37786	37320	37320	36795	36795	31448	30833	30817
e00480-C	e00480-C	1	e00480-C_S269_L001_R1_001.fastq.gz	e00480-C_S269_L001_R2_001.fastq.gz	23958	23958	23662	23662	23343	23343	19618	19396	19396
e00481-A	e00481-A	1	e00481-A_S78_L001_R1_001.fastq.gz	e00481-A_S78_L001_R2_001.fastq.gz	31302	31302	30863	30863	30500	30500	27371	26922	26922
e00481-B	e00481-B	1	e00481-B_S174_L001_R1_001.fastq.gz	e00481-B_S174_L001_R2_001.fastq.gz	37154	37154	36642	36642	36196	36196	27493	24982	24982
e00481-C	e00481-C	1	e00481-C_S270_L001_R1_001.fastq.gz	e00481-C_S270_L001_R2_001.fastq.gz	25300	25300	24970	24970	24616	24616	18731	18575	18575
e00482-A	e00482-A	1	e00482-A_S79_L001_R1_001.fastq.gz	e00482-A_S79_L001_R2_001.fastq.gz	23862	23862	23522	23522	23203	23203	21464	21021	21021
e00482-B	e00482-B	1	e00482-B_S175_L001_R1_001.fastq.gz	e00482-B_S175_L001_R2_001.fastq.gz	32609	32609	32182	32182	31763	31763	28758	28327	28327
e00482-C	e00482-C	1	e00482-C_S271_L001_R1_001.fastq.gz	e00482-C_S271_L001_R2_001.fastq.gz	26477	26477	26140	26140	25780	25780	23562	23012	23012
e00483-A	e00483-A	1	e00483-A_S80_L001_R1_001.fastq.gz	e00483-A_S80_L001_R2_001.fastq.gz	17936	17936	17711	17711	17538	17538	15673	15248	15248
e00483-B	e00483-B	1	e00483-B_S176_L001_R1_001.fastq.gz	e00483-B_S176_L001_R2_001.fastq.gz	32986	32986	32563	32563	32179	32179	26397	25910	25910
e00483-C	e00483-C	1	e00483-C_S272_L001_R1_001.fastq.gz	e00483-C_S272_L001_R2_001.fastq.gz	38532	38532	38057	38057	37608	37608	30701	29762	29762
e00484-A	e00484-A	1	e00484-A_S81_L001_R1_001.fastq.gz	e00484-A_S81_L001_R2_001.fastq.gz	29066	29066	28636	28636	28366	28366	25726	24546	24546
e00484-B	e00484-B	1	e00484-B_S177_L001_R1_001.fastq.gz	e00484-B_S177_L001_R2_001.fastq.gz	36103	36103	35613	35613	35310	35310	32792	31885	31885
e00484-C	e00484-C	1	e00484-C_S273_L001_R1_001.fastq.gz	e00484-C_S273_L001_R2_001.fastq.gz	33231	33231	32762	32762	32446	32446	28961	28022	28022
e00485-A	e00485-A	1	e00485-A_S82_L001_R1_001.fastq.gz	e00485-A_S82_L001_R2_001.fastq.gz	29541	29541	29143	29143	28892	28892	26318	25482	25475
e00485-B	e00485-B	1	e00485-B_S178_L001_R1_001.fastq.gz	e00485-B_S178_L001_R2_001.fastq.gz	31342	31342	30936	30936	30672	30672	27654	27079	27079
e00485-C	e00485-C	1	e00485-C_S274_L001_R1_001.fastq.gz	e00485-C_S274_L001_R2_001.fastq.gz	25399	25399	25097	25097	24877	24877	22135	21564	21564
e00486-A	e00486-A	1	e00486-A_S83_L001_R1_001.fastq.gz	e00486-A_S83_L001_R2_001.fastq.gz	35490	35490	35006	35006	34693	34693	31840	30613	30613
e00486-B	e00486-B	1	e00486-B_S179_L001_R1_001.fastq.gz	e00486-B_S179_L001_R2_001.fastq.gz	39045	39045	38524	38524	38090	38090	35134	34547	34547
e00486-C	e00486-C	1	e00486-C_S275_L001_R1_001.fastq.gz	e00486-C_S275_L001_R2_001.fastq.gz	36024	36024	35550	35550	35108	35108	31387	30958	30958
e00487-A	e00487-A	1	e00487-A_S84_L001_R1_001.fastq.gz	e00487-A_S84_L001_R2_001.fastq.gz	36982	36982	36494	36494	36145	36145	33132	32417	32406
e00487-B	e00487-B	1	e00487-B_S180_L001_R1_001.fastq.gz	e00487-B_S180_L001_R2_001.fastq.gz	33466	33466	33048	33048	32689	32689	29981	29625	29625
e00487-C	e00487-C	1	e00487-C_S276_L001_R1_001.fastq.gz	e00487-C_S276_L001_R2_001.fastq.gz	25332	25332	25032	25032	22448	22448	20578	20284	20284
e00488-A	e00488-A	1	e00488-A_S85_L001_R1_001.fastq.gz	e00488-A_S85_L001_R2_001.fastq.gz	41492	41492	40941	40941	40463	40463	37692	36475	36475
e00488-B	e00488-B	1	e00488-B_S181_L001_R1_001.fastq.gz	e00488-B_S181_L001_R2_001.fastq.gz	32747	32747	32329	32329	31933	31933	29502	28831	28831
e00488-C	e00488-C	1	e00488-C_S277_L001_R1_001.fastq.gz	e00488-C_S277_L001_R2_001.fastq.gz	25290	25290	24938	24938	24686	24686	22730	22408	22408
e00489-A	e00489-A	1	e00489-A_S86_L001_R1_001.fastq.gz	e00489-A_S86_L001_R2_001.fastq.gz	49820	49820	49126	49126	48791	48791	45800	44637	44637
e00489-B	e00489-B	1	e00489-B_S182_L001_R1_001.fastq.gz	e00489-B_S182_L001_R2_001.fastq.gz	37382	37382	36877	36877	36625	36625	34311	33585	33585
e00489-C	e00489-C	1	e00489-C_S278_L001_R1_001.fastq.gz	e00489-C_S278_L001_R2_001.fastq.gz	24900	24900	24578	24578	23708	23708	22038	21540	21540
e00490-A	e00490-A	1	e00490-A_S87_L001_R1_001.fastq.gz	e00490-A_S87_L001_R2_001.fastq.gz	545	545	527	527	492	492	230	230	229
e00490-B	e00490-B	1	e00490-B_S183_L001_R1_001.fastq.gz	e00490-B_S183_L001_R2_001.fastq.gz	2233	2233	2198	2198	2162	2162	1901	1894	1894
e00490-C	e00490-C	1	e00490-C_S279_L001_R1_001.fastq.gz	e00490-C_S279_L001_R2_001.fastq.gz	841	841	825	825	795	795	623	623	623
e00491-A	e00491-A	1	e00491-A_S88_L001_R1_001.fastq.gz	e00491-A_S88_L001_R2_001.fastq.gz	36659	36659	36141	36141	35856	35856	32619	31671	31671
e00491-B	e00491-B	1	e00491-B_S184_L001_R1_001.fastq.gz	e00491-B_S184_L001_R2_001.fastq.gz	36369	36369	35858	35858	35513	35513	30640	30072	30072
e00491-C	e00491-C	1	e00491-C_S280_L001_R1_001.fastq.gz	e00491-C_S280_L001_R2_001.fastq.gz	33838	33838	33399	33399	33025	33025	29735	28901	28901
e00492-A	e00492-A	1	e00492-A_S89_L001_R1_001.fastq.gz	e00492-A_S89_L001_R2_001.fastq.gz	20358	20358	20028	20028	19674	19674	17140	16809	16809
e00492-B	e00492-B	1	e00492-B_S185_L001_R1_001.fastq.gz	e00492-B_S185_L001_R2_001.fastq.gz	40001	40001	39414	39414	38798	38798	32622	31839	31839
e00492-C	e00492-C	1	e00492-C_S281_L001_R1_001.fastq.gz	e00492-C_S281_L001_R2_001.fastq.gz	27517	27517	27107	27107	26607	26607	21492	20992	20992
e00493-A	e00493-A	1	e00493-A_S90_L001_R1_001.fastq.gz	e00493-A_S90_L001_R2_001.fastq.gz	22261	22261	21965	21965	21780	21780	20475	19961	19961
e00493-B	e00493-B	1	e00493-B_S186_L001_R1_001.fastq.gz	e00493-B_S186_L001_R2_001.fastq.gz	28259	28259	27873	27873	27616	27616	26079	25571	25571
e00493-C	e00493-C	1	e00493-C_S282_L001_R1_001.fastq.gz	e00493-C_S282_L001_R2_001.fastq.gz	22959	22959	22618	22618	22451	22451	21108	20723	20723
e00494-A	e00494-A	1	e00494-A_S91_L001_R1_001.fastq.gz	e00494-A_S91_L001_R2_001.fastq.gz	25546	25546	25141	25141	24818	24818	22825	22105	22105
e00494-B	e00494-B	1	e00494-B_S187_L001_R1_001.fastq.gz	e00494-B_S187_L001_R2_001.fastq.gz	34136	34136	33625	33625	33248	33248	30530	29877	29877
e00494-C	e00494-C	1	e00494-C_S283_L001_R1_001.fastq.gz	e00494-C_S283_L001_R2_001.fastq.gz	22203	22203	21861	21861	21566	21566	19543	19090	19088
e00495-A	e00495-A	1	e00495-A_S92_L001_R1_001.fastq.gz	e00495-A_S92_L001_R2_001.fastq.gz	26711	26711	26182	26182	25858	25858	23092	22179	22151
e00495-B	e00495-B	1	e00495-B_S188_L001_R1_001.fastq.gz	e00495-B_S188_L001_R2_001.fastq.gz	28113	28113	27652	27652	27251	27251	23630	22887	22887
e00495-C	e00495-C	1	e00495-C_S284_L001_R1_001.fastq.gz	e00495-C_S284_L001_R2_001.fastq.gz	23066	23066	22624	22624	22304	22304	19157	18693	18691
e00496-A	e00496-A	1	e00496-A_S93_L001_R1_001.fastq.gz	e00496-A_S93_L001_R2_001.fastq.gz	24175	24175	23800	23800	23573	23573	21932	21451	21451
e00496-B	e00496-B	1	e00496-B_S189_L001_R1_001.fastq.gz	e00496-B_S189_L001_R2_001.fastq.gz	28665	28665	28311	28311	28050	28050	25853	25026	25026
e00496-C	e00496-C	1	e00496-C_S285_L001_R1_001.fastq.gz	e00496-C_S285_L001_R2_001.fastq.gz	21652	21652	21385	21385	21218	21218	19487	18766	18766
e00497-A	e00497-A	1	e00497-A_S94_L001_R1_001.fastq.gz	e00497-A_S94_L001_R2_001.fastq.gz	20166	20166	19880	19880	19718	19718	18583	18113	18113
e00497-B	e00497-B	1	e00497-B_S190_L001_R1_001.fastq.gz	e00497-B_S190_L001_R2_001.fastq.gz	29999	29999	29624	29624	29431	29431	27702	27269	27269
e00497-C	e00497-C	1	e00497-C_S286_L001_R1_001.fastq.gz	e00497-C_S286_L001_R2_001.fastq.gz	30689	30689	30305	30305	30059	30059	28117	27627	27627
e00498-A	e00498-A	1	e00498-A_S289_L001_R1_001.fastq.gz	e00498-A_S289_L001_R2_001.fastq.gz	31545	31545	31156	31156	30859	30859	28275	27570	27570
e00498-B	e00498-B	1	e00498-B_S357_L001_R1_001.fastq.gz	e00498-B_S357_L001_R2_001.fastq.gz	23614	23614	23251	23251	23005	23005	20600	19032	19032
e00498-C	e00498-C	1	e00498-C_S425_L001_R1_001.fastq.gz	e00498-C_S425_L001_R2_001.fastq.gz	17794	17794	17531	17531	16966	16966	15147	14033	14033
e00499-A	e00499-A	1	e00499-A_S290_L001_R1_001.fastq.gz	e00499-A_S290_L001_R2_001.fastq.gz	30373	30373	29808	29808	29211	29211	26065	25442	25442
e00499-B	e00499-B	1	e00499-B_S358_L001_R1_001.fastq.gz	e00499-B_S358_L001_R2_001.fastq.gz	33339	33339	32711	32711	32075	32075	28916	28212	28212
e00499-C	e00499-C	1	e00499-C_S426_L001_R1_001.fastq.gz	e00499-C_S426_L001_R2_001.fastq.gz	13932	13932	13605	13605	13347	13347	11008	10315	10315
e00500-A	e00500-A	1	e00500-A_S291_L001_R1_001.fastq.gz	e00500-A_S291_L001_R2_001.fastq.gz	30676	30676	30251	30251	29639	29639	25483	24754	24754
e00500-B	e00500-B	1	e00500-B_S359_L001_R1_001.fastq.gz	e00500-B_S359_L001_R2_001.fastq.gz	33908	33908	33430	33430	32807	32807	29515	28775	28775
e00500-C	e00500-C	1	e00500-C_S427_L001_R1_001.fastq.gz	e00500-C_S427_L001_R2_001.fastq.gz	18080	18080	17825	17825	17478	17478	15496	14984	14984
e00501-A	e00501-A	1	e00501-A_S292_L001_R1_001.fastq.gz	e00501-A_S292_L001_R2_001.fastq.gz	33320	33320	32874	32874	32249	32249	27462	26915	26915
e00501-B	e00501-B	1	e00501-B_S360_L001_R1_001.fastq.gz	e00501-B_S360_L001_R2_001.fastq.gz	36457	36457	35927	35927	35108	35108	31054	30716	30715
e00501-C	e00501-C	1	e00501-C_S428_L001_R1_001.fastq.gz	e00501-C_S428_L001_R2_001.fastq.gz	21172	21172	20888	20888	20447	20447	18204	17720	17720
e00502-A	e00502-A	1	e00502-A_S293_L001_R1_001.fastq.gz	e00502-A_S293_L001_R2_001.fastq.gz	36834	36834	36351	36351	35864	35864	33586	32434	32434
e00502-B	e00502-B	1	e00502-B_S361_L001_R1_001.fastq.gz	e00502-B_S361_L001_R2_001.fastq.gz	32478	32478	32011	32011	31619	31619	29888	28834	28834
e00502-C	e00502-C	1	e00502-C_S429_L001_R1_001.fastq.gz	e00502-C_S429_L001_R2_001.fastq.gz	17394	17394	17150	17150	16928	16928	16038	15364	15364
e00503-A	e00503-A	1	e00503-A_S294_L001_R1_001.fastq.gz	e00503-A_S294_L001_R2_001.fastq.gz	34441	34441	33933	33933	32336	32336	30225	29236	29236
e00503-B	e00503-B	1	e00503-B_S362_L001_R1_001.fastq.gz	e00503-B_S362_L001_R2_001.fastq.gz	32816	32816	32334	32334	31834	31834	29768	28953	28953
e00503-C	e00503-C	1	e00503-C_S430_L001_R1_001.fastq.gz	e00503-C_S430_L001_R2_001.fastq.gz	11902	11902	11737	11737	11578	11578	10705	10070	10070
e00504-A	e00504-A	1	e00504-A_S295_L001_R1_001.fastq.gz	e00504-A_S295_L001_R2_001.fastq.gz	33736	33736	33289	33289	32677	32677	30496	29705	29705
e00504-B	e00504-B	1	e00504-B_S363_L001_R1_001.fastq.gz	e00504-B_S363_L001_R2_001.fastq.gz	37086	37086	36538	36538	35883	35883	33447	32739	32738
e00504-C	e00504-C	1	e00504-C_S431_L001_R1_001.fastq.gz	e00504-C_S431_L001_R2_001.fastq.gz	17855	17855	17592	17592	17288	17288	16265	15707	15707
e00505-A	e00505-A	1	e00505-A_S296_L001_R1_001.fastq.gz	e00505-A_S296_L001_R2_001.fastq.gz	29141	29141	27399	27399	26642	26642	23384	22349	22349
e00505-B	e00505-B	1	e00505-B_S364_L001_R1_001.fastq.gz	e00505-B_S364_L001_R2_001.fastq.gz	27686	27686	26071	26071	25255	25255	21009	20612	20612
e00505-C	e00505-C	1	e00505-C_S432_L001_R1_001.fastq.gz	e00505-C_S432_L001_R2_001.fastq.gz	14379	14379	13232	13232	12950	12950	11534	11032	11032
e00506-A	e00506-A	1	e00506-A_S297_L001_R1_001.fastq.gz	e00506-A_S297_L001_R2_001.fastq.gz	33700	33700	33189	33189	31922	31922	29547	29131	29131
e00506-B	e00506-B	1	e00506-B_S365_L001_R1_001.fastq.gz	e00506-B_S365_L001_R2_001.fastq.gz	32257	32257	31809	31809	31236	31236	29539	29136	29136
e00506-C	e00506-C	1	e00506-C_S433_L001_R1_001.fastq.gz	e00506-C_S433_L001_R2_001.fastq.gz	17930	17930	17640	17640	17338	17338	16255	15857	15857
e00507-A	e00507-A	1	e00507-A_S298_L001_R1_001.fastq.gz	e00507-A_S298_L001_R2_001.fastq.gz	27281	27281	26895	26895	26364	26364	24036	23571	23571
e00507-B	e00507-B	1	e00507-B_S366_L001_R1_001.fastq.gz	e00507-B_S366_L001_R2_001.fastq.gz	36870	36870	36302	36302	35447	35447	33503	32925	32925
e00507-C	e00507-C	1	e00507-C_S434_L001_R1_001.fastq.gz	e00507-C_S434_L001_R2_001.fastq.gz	63994	63994	63067	63067	61892	61892	58824	57952	57952
e00508-A	e00508-A	1	e00508-A_S299_L001_R1_001.fastq.gz	e00508-A_S299_L001_R2_001.fastq.gz	29339	29339	28935	28935	28465	28465	23857	23275	23275
e00508-B	e00508-B	1	e00508-B_S367_L001_R1_001.fastq.gz	e00508-B_S367_L001_R2_001.fastq.gz	44244	44244	43658	43658	43003	43003	38088	37362	37340
e00508-C	e00508-C	1	e00508-C_S435_L001_R1_001.fastq.gz	e00508-C_S435_L001_R2_001.fastq.gz	39013	39013	38517	38517	38018	38018	34873	34134	34134
e00509-A	e00509-A	1	e00509-A_S300_L001_R1_001.fastq.gz	e00509-A_S300_L001_R2_001.fastq.gz	32944	32944	32520	32520	31874	31874	25258	24620	24404
e00509-B	e00509-B	1	e00509-B_S368_L001_R1_001.fastq.gz	e00509-B_S368_L001_R2_001.fastq.gz	39241	39241	38730	38730	38014	38014	31455	31067	31067
e00509-C	e00509-C	1	e00509-C_S436_L001_R1_001.fastq.gz	e00509-C_S436_L001_R2_001.fastq.gz	21433	21433	21163	21163	20795	20795	18487	17745	17745
e00510-A	e00510-A	1	e00510-A_S301_L001_R1_001.fastq.gz	e00510-A_S301_L001_R2_001.fastq.gz	33271	33271	32838	32838	32437	32437	28058	27554	27554
e00510-B	e00510-B	1	e00510-B_S369_L001_R1_001.fastq.gz	e00510-B_S369_L001_R2_001.fastq.gz	26659	26659	26291	26291	25913	25913	21788	21385	21385
e00510-C	e00510-C	1	e00510-C_S437_L001_R1_001.fastq.gz	e00510-C_S437_L001_R2_001.fastq.gz	21006	21006	20730	20730	20452	20452	18432	18097	18097
e00511-A	e00511-A	1	e00511-A_S302_L001_R1_001.fastq.gz	e00511-A_S302_L001_R2_001.fastq.gz	7999	7999	7913	7913	5502	5502	5157	5074	5074
e00511-B	e00511-B	1	e00511-B_S370_L001_R1_001.fastq.gz	e00511-B_S370_L001_R2_001.fastq.gz	33497	33497	33034	33034	32625	32625	32014	32002	32002
e00511-C	e00511-C	1	e00511-C_S438_L001_R1_001.fastq.gz	e00511-C_S438_L001_R2_001.fastq.gz	17858	17858	17621	17621	17361	17361	16411	16055	16055
e00512-A	e00512-A	1	e00512-A_S303_L001_R1_001.fastq.gz	e00512-A_S303_L001_R2_001.fastq.gz	4649	4649	4364	4364	4282	4282	3609	3608	3608
e00512-B	e00512-B	1	e00512-B_S371_L001_R1_001.fastq.gz	e00512-B_S371_L001_R2_001.fastq.gz	1527	1527	1262	1262	1175	1175	694	686	686
e00512-C	e00512-C	1	e00512-C_S439_L001_R1_001.fastq.gz	e00512-C_S439_L001_R2_001.fastq.gz	29465	29465	28840	28840	28598	28598	27884	27884	27884
e00513-A	e00513-A	1	e00513-A_S304_L001_R1_001.fastq.gz	e00513-A_S304_L001_R2_001.fastq.gz	2317	2317	2272	2272	881	881	412	412	412
e00513-B	e00513-B	1	e00513-B_S372_L001_R1_001.fastq.gz	e00513-B_S372_L001_R2_001.fastq.gz	10648	10648	10499	10499	10307	10307	9607	9445	9445
e00513-C	e00513-C	1	e00513-C_S440_L001_R1_001.fastq.gz	e00513-C_S440_L001_R2_001.fastq.gz	10611	10611	10434	10434	10267	10267	9931	9738	9738
e00514-A	e00514-A	1	e00514-A_S305_L001_R1_001.fastq.gz	e00514-A_S305_L001_R2_001.fastq.gz	367	367	359	359	323	323	134	131	131
e00514-B	e00514-B	1	e00514-B_S373_L001_R1_001.fastq.gz	e00514-B_S373_L001_R2_001.fastq.gz	321	321	316	316	281	281	98	95	95
e00514-C	e00514-C	1	e00514-C_S441_L001_R1_001.fastq.gz	e00514-C_S441_L001_R2_001.fastq.gz	1431	1431	1412	1412	873	873	736	733	733
e00515-A	e00515-A	1	e00515-A_S306_L001_R1_001.fastq.gz	e00515-A_S306_L001_R2_001.fastq.gz	85824	85824	84690	84690	83690	83690	76152	74563	74563
e00515-B	e00515-B	1	e00515-B_S374_L001_R1_001.fastq.gz	e00515-B_S374_L001_R2_001.fastq.gz	39910	39910	39432	39432	39017	39017	36784	36313	36313
e00515-C	e00515-C	1	e00515-C_S442_L001_R1_001.fastq.gz	e00515-C_S442_L001_R2_001.fastq.gz	18506	18506	18282	18282	17932	17932	16724	16501	16501
e00516-A	e00516-A	1	e00516-A_S307_L001_R1_001.fastq.gz	e00516-A_S307_L001_R2_001.fastq.gz	32008	32008	31612	31612	31142	31142	28220	27835	27835
e00516-B	e00516-B	1	e00516-B_S375_L001_R1_001.fastq.gz	e00516-B_S375_L001_R2_001.fastq.gz	46130	46130	45557	45557	44957	44957	42035	41373	41373
e00516-C	e00516-C	1	e00516-C_S443_L001_R1_001.fastq.gz	e00516-C_S443_L001_R2_001.fastq.gz	18295	18295	18048	18048	17824	17824	16565	16347	16347
e00517-A	e00517-A	1	e00517-A_S308_L001_R1_001.fastq.gz	e00517-A_S308_L001_R2_001.fastq.gz	34381	34381	33934	33934	33023	33023	26589	26188	26188
e00517-B	e00517-B	1	e00517-B_S376_L001_R1_001.fastq.gz	e00517-B_S376_L001_R2_001.fastq.gz	36102	36102	35535	35535	34895	34895	30099	29659	29659
e00517-C	e00517-C	1	e00517-C_S444_L001_R1_001.fastq.gz	e00517-C_S444_L001_R2_001.fastq.gz	22788	22788	22482	22482	22116	22116	19964	19660	19660
e00518-A	e00518-A	1	e00518-A_S309_L001_R1_001.fastq.gz	e00518-A_S309_L001_R2_001.fastq.gz	23779	23779	23456	23456	23174	23174	20943	20846	20464
e00518-B	e00518-B	1	e00518-B_S377_L001_R1_001.fastq.gz	e00518-B_S377_L001_R2_001.fastq.gz	36746	36746	36191	36191	35823	35823	33845	33768	33629
e00518-C	e00518-C	1	e00518-C_S445_L001_R1_001.fastq.gz	e00518-C_S445_L001_R2_001.fastq.gz	18379	18379	18078	18078	17922	17922	17277	17174	17142
e00519-A	e00519-A	1	e00519-A_S310_L001_R1_001.fastq.gz	e00519-A_S310_L001_R2_001.fastq.gz	24571	24571	24217	24217	23893	23893	22138	22036	21815
e00519-B	e00519-B	1	e00519-B_S378_L001_R1_001.fastq.gz	e00519-B_S378_L001_R2_001.fastq.gz	23564	23564	23184	23184	22946	22946	21871	21792	21618
e00519-C	e00519-C	1	e00519-C_S446_L001_R1_001.fastq.gz	e00519-C_S446_L001_R2_001.fastq.gz	15810	15810	15564	15564	15398	15398	14818	14775	14683
e00520-A	e00520-A	1	e00520-A_S311_L001_R1_001.fastq.gz	e00520-A_S311_L001_R2_001.fastq.gz	32339	32339	31858	31858	31487	31487	29424	29051	28692
e00520-B	e00520-B	1	e00520-B_S379_L001_R1_001.fastq.gz	e00520-B_S379_L001_R2_001.fastq.gz	29155	29155	28703	28703	28339	28339	27025	26762	26559
e00520-C	e00520-C	1	e00520-C_S447_L001_R1_001.fastq.gz	e00520-C_S447_L001_R2_001.fastq.gz	23874	23874	23538	23538	23269	23269	22631	22527	22461
e00521-A	e00521-A	1	e00521-A_S312_L001_R1_001.fastq.gz	e00521-A_S312_L001_R2_001.fastq.gz	29592	29592	29227	29227	28723	28723	23439	23024	23024
e00521-B	e00521-B	1	e00521-B_S380_L001_R1_001.fastq.gz	e00521-B_S380_L001_R2_001.fastq.gz	27537	27537	27196	27196	26873	26873	23370	22934	22934
e00521-C	e00521-C	1	e00521-C_S448_L001_R1_001.fastq.gz	e00521-C_S448_L001_R2_001.fastq.gz	19094	19094	18854	18854	18620	18620	17133	16818	16818
e00522-A	e00522-A	1	e00522-A_S313_L001_R1_001.fastq.gz	e00522-A_S313_L001_R2_001.fastq.gz	29751	29751	29334	29334	29039	29039	25495	25031	25031
e00522-B	e00522-B	1	e00522-B_S381_L001_R1_001.fastq.gz	e00522-B_S381_L001_R2_001.fastq.gz	29793	29793	29390	29390	29122	29122	25358	24788	24788
e00522-C	e00522-C	1	e00522-C_S449_L001_R1_001.fastq.gz	e00522-C_S449_L001_R2_001.fastq.gz	20682	20682	20379	20379	20190	20190	17750	17501	17501
e00523-A	e00523-A	1	e00523-A_S314_L001_R1_001.fastq.gz	e00523-A_S314_L001_R2_001.fastq.gz	31208	31208	30810	30810	30303	30303	22288	21674	21674
e00523-B	e00523-B	1	e00523-B_S382_L001_R1_001.fastq.gz	e00523-B_S382_L001_R2_001.fastq.gz	48270	48270	47678	47678	47149	47149	38686	37697	37697
e00523-C	e00523-C	1	e00523-C_S450_L001_R1_001.fastq.gz	e00523-C_S450_L001_R2_001.fastq.gz	22125	22125	21838	21838	21510	21510	17221	16827	16827
e00524-A	e00524-A	1	e00524-A_S315_L001_R1_001.fastq.gz	e00524-A_S315_L001_R2_001.fastq.gz	29667	29667	29247	29247	28692	28692	23991	23474	23474
e00524-B	e00524-B	1	e00524-B_S383_L001_R1_001.fastq.gz	e00524-B_S383_L001_R2_001.fastq.gz	53531	53531	52770	52770	51899	51899	46551	45762	45762
e00524-C	e00524-C	1	e00524-C_S451_L001_R1_001.fastq.gz	e00524-C_S451_L001_R2_001.fastq.gz	20716	20716	20397	20397	20038	20038	18118	17666	17666
e00525-A	e00525-A	1	e00525-A_S316_L001_R1_001.fastq.gz	e00525-A_S316_L001_R2_001.fastq.gz	28874	28874	28496	28496	27945	27945	17510	17405	17405
e00525-B	e00525-B	1	e00525-B_S384_L001_R1_001.fastq.gz	e00525-B_S384_L001_R2_001.fastq.gz	40327	40327	39815	39815	39151	39151	27690	27450	27450
e00525-C	e00525-C	1	e00525-C_S452_L001_R1_001.fastq.gz	e00525-C_S452_L001_R2_001.fastq.gz	19875	19875	19597	19597	19327	19327	16371	16200	16200
e00526-A	e00526-A	1	e00526-A_S317_L001_R1_001.fastq.gz	e00526-A_S317_L001_R2_001.fastq.gz	33536	33536	33121	33121	32577	32577	21810	21569	21569
e00526-B	e00526-B	1	e00526-B_S385_L001_R1_001.fastq.gz	e00526-B_S385_L001_R2_001.fastq.gz	44554	44554	44007	44007	43399	43399	32391	31778	31778
e00526-C	e00526-C	1	e00526-C_S453_L001_R1_001.fastq.gz	e00526-C_S453_L001_R2_001.fastq.gz	23645	23645	23328	23328	23052	23052	19258	18898	18898
e00527-A	e00527-A	1	e00527-A_S318_L001_R1_001.fastq.gz	e00527-A_S318_L001_R2_001.fastq.gz	31069	31069	30676	30676	30328	30328	26625	26165	26165
e00527-B	e00527-B	1	e00527-B_S386_L001_R1_001.fastq.gz	e00527-B_S386_L001_R2_001.fastq.gz	25149	25149	24848	24848	24504	24504	20919	20560	20560
e00527-C	e00527-C	1	e00527-C_S454_L001_R1_001.fastq.gz	e00527-C_S454_L001_R2_001.fastq.gz	28995	28995	28618	28618	28365	28365	26465	26056	26055
e00528-A	e00528-A	1	e00528-A_S319_L001_R1_001.fastq.gz	e00528-A_S319_L001_R2_001.fastq.gz	36464	36464	36032	36032	35652	35652	31507	30928	30928
e00528-B	e00528-B	1	e00528-B_S387_L001_R1_001.fastq.gz	e00528-B_S387_L001_R2_001.fastq.gz	37699	37699	37166	37166	36781	36781	32639	31834	31834
e00528-C	e00528-C	1	e00528-C_S455_L001_R1_001.fastq.gz	e00528-C_S455_L001_R2_001.fastq.gz	22484	22484	22179	22179	21956	21956	20496	20072	20072
e00529-A	e00529-A	1	e00529-A_S320_L001_R1_001.fastq.gz	e00529-A_S320_L001_R2_001.fastq.gz	25314	25314	24989	24989	24603	24603	20301	19882	19882
e00529-B	e00529-B	1	e00529-B_S388_L001_R1_001.fastq.gz	e00529-B_S388_L001_R2_001.fastq.gz	28575	28575	28200	28200	27779	27779	24233	23591	23591
e00529-C	e00529-C	1	e00529-C_S456_L001_R1_001.fastq.gz	e00529-C_S456_L001_R2_001.fastq.gz	21096	21096	20794	20794	20525	20525	19169	18871	18861
e00530-A	e00530-A	1	e00530-A_S321_L001_R1_001.fastq.gz	e00530-A_S321_L001_R2_001.fastq.gz	36021	36021	35460	35460	35140	35140	30621	28934	28934
e00530-B	e00530-B	1	e00530-B_S389_L001_R1_001.fastq.gz	e00530-B_S389_L001_R2_001.fastq.gz	43617	43617	43021	43021	42649	42649	38455	36742	36742
e00530-C	e00530-C	1	e00530-C_S457_L001_R1_001.fastq.gz	e00530-C_S457_L001_R2_001.fastq.gz	67080	67080	66066	66066	65522	65522	57868	54550	54550
e00531-A	e00531-A	1	e00531-A_S322_L001_R1_001.fastq.gz	e00531-A_S322_L001_R2_001.fastq.gz	38356	38356	37839	37839	37520	37520	33862	32976	32976
e00531-B	e00531-B	1	e00531-B_S390_L001_R1_001.fastq.gz	e00531-B_S390_L001_R2_001.fastq.gz	58017	58017	57194	57194	56824	56824	52985	51967	51967
e00531-C	e00531-C	1	e00531-C_S458_L001_R1_001.fastq.gz	e00531-C_S458_L001_R2_001.fastq.gz	53099	53099	52384	52384	52034	52034	48205	47012	47010
