sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_tabled	reads_chimera_checked	reads_tax.length_filtered
e00413-A	e00413-A	1	e00413-A_S41_L001_R1_001.fastq.gz	e00413-A_S41_L001_R2_001.fastq.gz	34563	34563	33988	33988	33663	33663	30557	29620	29620
e00413-B	e00413-B	1	e00413-B_S137_L001_R1_001.fastq.gz	e00413-B_S137_L001_R2_001.fastq.gz	30770	30770	30289	30289	29973	29973	27049	26760	26757
e00413-C	e00413-C	1	e00413-C_S233_L001_R1_001.fastq.gz	e00413-C_S233_L001_R2_001.fastq.gz	32087	32087	31611	31611	31282	31282	27995	27571	27571
e00414-A	e00414-A	1	e00414-A_S42_L001_R1_001.fastq.gz	e00414-A_S42_L001_R2_001.fastq.gz	21802	21802	21505	21505	21374	21374	20014	19515	19511
e00414-B	e00414-B	1	e00414-B_S138_L001_R1_001.fastq.gz	e00414-B_S138_L001_R2_001.fastq.gz	28978	28978	28619	28619	28457	28457	27082	26584	26584
e00414-C	e00414-C	1	e00414-C_S234_L001_R1_001.fastq.gz	e00414-C_S234_L001_R2_001.fastq.gz	32034	32034	31661	31661	31456	31456	29530	28923	28923
e00415-A	e00415-A	1	e00415-A_S43_L001_R1_001.fastq.gz	e00415-A_S43_L001_R2_001.fastq.gz	62544	62544	61712	61712	61179	61179	57820	56630	56630
e00415-B	e00415-B	1	e00415-B_S139_L001_R1_001.fastq.gz	e00415-B_S139_L001_R2_001.fastq.gz	40903	40903	40360	40360	39977	39977	37598	36884	36884
e00415-C	e00415-C	1	e00415-C_S235_L001_R1_001.fastq.gz	e00415-C_S235_L001_R2_001.fastq.gz	30188	30188	29822	29822	29484	29484	27417	26946	26946
e00416-A	e00416-A	1	e00416-A_S44_L001_R1_001.fastq.gz	e00416-A_S44_L001_R2_001.fastq.gz	30545	30545	30095	30095	29796	29796	28244	27134	27134
e00416-B	e00416-B	1	e00416-B_S140_L001_R1_001.fastq.gz	e00416-B_S140_L001_R2_001.fastq.gz	35573	35573	35110	35110	34792	34792	32859	31977	31977
e00416-C	e00416-C	1	e00416-C_S236_L001_R1_001.fastq.gz	e00416-C_S236_L001_R2_001.fastq.gz	27319	27319	26963	26963	26679	26679	24973	24348	24348
e00417-A	e00417-A	1	e00417-A_S45_L001_R1_001.fastq.gz	e00417-A_S45_L001_R2_001.fastq.gz	4518	4518	4457	4457	4395	4395	4114	4003	4003
e00417-B	e00417-B	1	e00417-B_S141_L001_R1_001.fastq.gz	e00417-B_S141_L001_R2_001.fastq.gz	4035	4035	3983	3983	3556	3556	3289	3205	3205
e00417-C	e00417-C	1	e00417-C_S237_L001_R1_001.fastq.gz	e00417-C_S237_L001_R2_001.fastq.gz	6078	6078	5998	5998	5925	5925	5716	5620	5620
e00418-A	e00418-A	1	e00418-A_S46_L001_R1_001.fastq.gz	e00418-A_S46_L001_R2_001.fastq.gz	34282	34282	33758	33758	33489	33489	32258	31073	31073
e00418-B	e00418-B	1	e00418-B_S142_L001_R1_001.fastq.gz	e00418-B_S142_L001_R2_001.fastq.gz	37772	37772	37191	37191	36945	36945	35676	34451	34451
e00418-C	e00418-C	1	e00418-C_S238_L001_R1_001.fastq.gz	e00418-C_S238_L001_R2_001.fastq.gz	30016	30016	29600	29600	29382	29382	28537	27582	27582
e00419-A	e00419-A	1	e00419-A_S47_L001_R1_001.fastq.gz	e00419-A_S47_L001_R2_001.fastq.gz	41508	41508	40939	40939	40488	40488	37120	36159	36159
e00419-B	e00419-B	1	e00419-B_S143_L001_R1_001.fastq.gz	e00419-B_S143_L001_R2_001.fastq.gz	42060	42060	41427	41427	41027	41027	37263	36326	36326
e00419-C	e00419-C	1	e00419-C_S239_L001_R1_001.fastq.gz	e00419-C_S239_L001_R2_001.fastq.gz	33439	33439	32985	32985	32649	32649	30178	29744	29744
e00420-A	e00420-A	1	e00420-A_S49_L001_R1_001.fastq.gz	e00420-A_S49_L001_R2_001.fastq.gz	40375	40375	39840	39840	39457	39457	35808	34941	34940
e00420-B	e00420-B	1	e00420-B_S145_L001_R1_001.fastq.gz	e00420-B_S145_L001_R2_001.fastq.gz	41061	41061	40589	40589	40278	40278	37133	36581	36581
e00420-C	e00420-C	1	e00420-C_S241_L001_R1_001.fastq.gz	e00420-C_S241_L001_R2_001.fastq.gz	36767	36767	36274	36274	35889	35889	32199	31651	31651
e00421-A	e00421-A	1	e00421-A_S50_L001_R1_001.fastq.gz	e00421-A_S50_L001_R2_001.fastq.gz	34176	34176	33695	33695	33441	33441	31046	30157	30157
e00421-B	e00421-B	1	e00421-B_S146_L001_R1_001.fastq.gz	e00421-B_S146_L001_R2_001.fastq.gz	37691	37691	37174	37174	36959	36959	34753	34065	34065
e00421-C	e00421-C	1	e00421-C_S242_L001_R1_001.fastq.gz	e00421-C_S242_L001_R2_001.fastq.gz	34909	34909	34412	34412	33746	33746	31789	31188	31188
e00422-A	e00422-A	1	e00422-A_S51_L001_R1_001.fastq.gz	e00422-A_S51_L001_R2_001.fastq.gz	29662	29662	29052	29052	28707	28707	26661	25561	25561
e00422-B	e00422-B	1	e00422-B_S147_L001_R1_001.fastq.gz	e00422-B_S147_L001_R2_001.fastq.gz	40926	40926	40160	40160	39764	39764	37171	36397	36397
e00422-C	e00422-C	1	e00422-C_S243_L001_R1_001.fastq.gz	e00422-C_S243_L001_R2_001.fastq.gz	38027	38027	37395	37395	35950	35950	32872	31891	31891
e00423-A	e00423-A	1	e00423-A_S52_L001_R1_001.fastq.gz	e00423-A_S52_L001_R2_001.fastq.gz	47653	47653	47010	47010	46510	46510	43840	42548	42548
e00423-B	e00423-B	1	e00423-B_S148_L001_R1_001.fastq.gz	e00423-B_S148_L001_R2_001.fastq.gz	37338	37338	36827	36827	36487	36487	34428	33393	33393
